Strength,Value [MPa],Year
Tensile Strength,896,2021
Tensile Strength,490,2021
Yield Strength,220,2021
Tensile Strength,670,2021
Tensile Strength,590,2021
Tensile Strength,800,2021
Yield Strength,809,2021
Tensile Strength,1310,2021
Yield Strength,500,2021
Yield Strength,1230,2021
Yield Strength,532,2021
Tensile Strength,627,2021
Tensile Strength,1060,2021
Tensile Strength,1670,2021
Tensile Strength,1050,2021
Yield Strength,700,2021
Tensile Strength,54,2021
Yield Strength,600,2021
Yield Strength,210,2021
Yield Strength,300,2021
Tensile Strength,580,2021
Yield Strength,188,2021
Tensile Strength,418,2021
Yield Strength,315,2021
Tensile Strength,608,2021
Yield Strength,192,2021
Tensile Strength,425,2021
Tensile Strength,370,2021
Yield Strength,1300,2021
Yield Strength,290,2021
Yield Strength,142,2021
Yield Strength,862,2021
Yield Strength,915,2021
Yield Strength,710,2021
Yield Strength,710,2021
Yield Strength,312,2021
Tensile Strength,810,2021
Yield Strength,272,2021
Yield Strength,583,2021
Tensile Strength,754,2021
Tensile Strength,1350,2021
Tensile Strength,1380,2021
Yield Strength,515,2021
Tensile Strength,876,2021
Tensile Strength,428,2021
Yield Strength,677,2021
Tensile Strength,714,2021
Tensile Strength,576,2021
Yield Strength,1055,2021
Tensile Strength,1140,2021
Tensile Strength,1135,2021
Yield Strength,41,2021
Tensile Strength,650,2021
Tensile Strength,1117,2021
Tensile Strength,346,2021
Tensile Strength,470,2021
Yield Strength,800,2021
Yield Strength,400,2021
Tensile Strength,600,2021
Tensile Strength,585,2021
Tensile Strength,167,2021
Yield Strength,221,2021
Tensile Strength,404,2021
Yield Strength,881,2021
Tensile Strength,1007,2021
Yield Strength,881,2021
Yield Strength,279,2021
Yield Strength,690,2021
Yield Strength,552,2021
Tensile Strength,540,2021
Yield Strength,400,2021
Yield Strength,400,2021
Yield Strength,320,2021
Yield Strength,276,2021
Tensile Strength,691,2021
Tensile Strength,760,2021
Tensile Strength,245,2021
Tensile Strength,547,2021
Tensile Strength,437,2021
Tensile Strength,705,2021
Tensile Strength,437,2021
Yield Strength,345,2021
Yield Strength,517,2021
Tensile Strength,807,2021
Yield Strength,282,2021
Tensile Strength,458,2021
Tensile Strength,1000,2021
Yield Strength,940,2021
Tensile Strength,1255,2021
Yield Strength,426,2021
Yield Strength,453,2021
Yield Strength,302,2021
Tensile Strength,589,2021
Yield Strength,282,2021
Tensile Strength,638,2021
Yield Strength,290,2021
Tensile Strength,511,2021
Tensile Strength,546,2021
Tensile Strength,680,2021
Tensile Strength,680,2021
Tensile Strength,200,2021
Yield Strength,100,2021
Yield Strength,400,2021
Tensile Strength,108,2021
Yield Strength,550,2021
Yield Strength,500,2021
Tensile Strength,100,2021
Yield Strength,355,2021
Tensile Strength,690,2021
Tensile Strength,690,2021
Yield Strength,517,2021
Tensile Strength,1102,2021
Tensile Strength,1654,2021
Tensile Strength,321,2021
Tensile Strength,490,2021
Yield Strength,600,2021
Yield Strength,750,2021
Yield Strength,750,2021
Tensile Strength,689,2021
Yield Strength,573,2021
Tensile Strength,718,2021
Yield Strength,665,2021
Yield Strength,665,2021
Tensile Strength,718,2021
Tensile Strength,305,2021
Tensile Strength,207,2021
Tensile Strength,326,2021
Yield Strength,1500,2021
Tensile Strength,1034,2021
Yield Strength,300,2021
Tensile Strength,1100,2021
Tensile Strength,60,2021
Tensile Strength,60,2021
Tensile Strength,60,2021
Yield Strength,550,2021
Tensile Strength,573,2021
Yield Strength,400,2021
Tensile Strength,650,2021
Tensile Strength,191,2021
Yield Strength,330,2021
Yield Strength,360,2021
Yield Strength,460,2021
Tensile Strength,1000,2021
Tensile Strength,776,2021
Tensile Strength,1045,2021
Tensile Strength,979,2021
Tensile Strength,1050,2021
Tensile Strength,1050,2021
Yield Strength,700,2021
Yield Strength,470,2021
Tensile Strength,704,2021
Tensile Strength,620,2021
Tensile Strength,408,2021
Yield Strength,38,2021
Yield Strength,251,2021
Tensile Strength,595,2021
Yield Strength,320,2021
Tensile Strength,550,2021
Tensile Strength,700,2021
Tensile Strength,700,2021
Yield Strength,700,2021
Yield Strength,508,2021
Tensile Strength,658,2021
Yield Strength,516,2021
Yield Strength,508,2021
Yield Strength,1011,2021
Tensile Strength,250,2021
Yield Strength,360,2021
Tensile Strength,199,2021
Tensile Strength,761,2021
Yield Strength,529,2021
Tensile Strength,882,2021
Yield Strength,557,2021
Tensile Strength,761,2021
Yield Strength,529,2021
Tensile Strength,882,2021
Yield Strength,557,2021
Yield Strength,220,2021
Tensile Strength,940,2021
Yield Strength,697,2021
Tensile Strength,935,2021
